time	V(out)
5.113990101470935e-04	-2.379261e-01
5.114070066564401e-04	-2.381462e-01
5.114797676012042e-04	-2.401507e-01
5.115009576888262e-04	-2.407351e-01
5.115124002177906e-04	-2.410508e-01
5.125329566835407e-04	-2.694202e-01
5.128800613855169e-04	-2.791057e-01
5.128833479307206e-04	-2.791973e-01
5.128868327279666e-04	-2.792945e-01
5.128878569473337e-04	-2.793230e-01
5.128880732075627e-04	-2.793290e-01
5.128899392839299e-04	-2.793810e-01
5.129187199619067e-04	-2.801832e-01
5.129949708824897e-04	-2.823072e-01
5.130008824900634e-04	-2.824718e-01
5.130446785139864e-04	-2.836909e-01
5.141507438546553e-04	-3.141446e-01
5.143727740750694e-04	-3.201455e-01
5.143762546371334e-04	-3.202392e-01
5.143790306325065e-04	-3.203139e-01
5.143794894960920e-04	-3.203262e-01
5.143812395015885e-04	-3.203733e-01
5.144024679850776e-04	-3.209442e-01
5.144880811563570e-04	-3.232419e-01
5.144967635958118e-04	-3.234744e-01
5.145469128382488e-04	-3.248159e-01
5.157527210850819e-04	-3.560627e-01
5.158636614871836e-04	-3.588274e-01
5.158671950817724e-04	-3.589151e-01
5.158700565115298e-04	-3.589861e-01
5.158707686033003e-04	-3.590038e-01
5.158713871618352e-04	-3.590191e-01
5.158758290744023e-04	-3.591293e-01
5.159518355024663e-04	-3.610094e-01
5.159888399516426e-04	-3.619210e-01
5.160034970714986e-04	-3.622814e-01
5.168075195614837e-04	-3.814356e-01
5.173500083843110e-04	-3.936314e-01
5.173537567988758e-04	-3.937135e-01
5.173576438105626e-04	-3.937986e-01
5.173597481253410e-04	-3.938446e-01
5.173609632324788e-04	-3.938712e-01
5.173663480348518e-04	-3.939890e-01
5.174219258307981e-04	-3.952008e-01
5.174720476435674e-04	-3.962877e-01
5.174809564643939e-04	-3.964804e-01
5.175427373309270e-04	-3.978112e-01
5.187363427204599e-04	-4.218217e-01
5.188417982283630e-04	-4.237837e-01
5.188456273207571e-04	-4.238544e-01
5.188491660217722e-04	-4.239198e-01
5.188502273279264e-04	-4.239394e-01
5.188504696005483e-04	-4.239438e-01
5.188525001470343e-04	-4.239813e-01
5.189095346564730e-04	-4.250299e-01
5.189660909209663e-04	-4.260619e-01
5.189696570033302e-04	-4.261267e-01
5.190179504448029e-04	-4.270014e-01
5.199459375548133e-04	-4.427261e-01
5.202776323121035e-04	-4.478578e-01
5.203325625278352e-04	-4.486826e-01
5.203361442341709e-04	-4.487362e-01
5.203375309384000e-04	-4.487569e-01
5.203402359285497e-04	-4.487973e-01
5.203404906936010e-04	-4.488011e-01
5.203407355410623e-04	-4.488048e-01
5.203424169420421e-04	-4.488299e-01
5.203712081436246e-04	-4.492587e-01
5.204526280322867e-04	-4.504609e-01
5.204572701056852e-04	-4.505290e-01
5.204924032908834e-04	-4.510427e-01
5.217327495426177e-04	-4.674130e-01
5.218221458671742e-04	-4.684646e-01
5.218254242934641e-04	-4.685029e-01
5.218288522533158e-04	-4.685429e-01
5.218300987609550e-04	-4.685574e-01
5.218310252660028e-04	-4.685682e-01
5.218352972518198e-04	-4.686180e-01
5.218980019373690e-04	-4.693440e-01
5.219421230851297e-04	-4.698501e-01
5.219482414461856e-04	-4.699199e-01
5.224315475116906e-04	-4.752043e-01
5.232756048347689e-04	-4.834049e-01
5.233152113942569e-04	-4.837595e-01
5.233191500141125e-04	-4.837947e-01
5.233204802277917e-04	-4.838065e-01
5.233207564609019e-04	-4.838090e-01
5.233214581228695e-04	-4.838152e-01
5.233241969301574e-04	-4.838396e-01
5.233577608244497e-04	-4.841376e-01
5.234250930889256e-04	-4.847299e-01
5.234300345941871e-04	-4.847731e-01
5.234412724817067e-04	-4.848712e-01
5.243498608627717e-04	-4.921916e-01
5.248037159250038e-04	-4.954445e-01
5.248076401705988e-04	-4.954716e-01
5.248101400646000e-04	-4.954888e-01
5.248108922802002e-04	-4.954940e-01
5.248133368424762e-04	-4.955108e-01
5.248745240224341e-04	-4.959306e-01
5.249192343654272e-04	-4.962347e-01
5.249235078645244e-04	-4.962637e-01
5.250817873447707e-04	-4.973229e-01
5.261790102726202e-04	-5.040798e-01
5.262948160466683e-04	-5.047438e-01
5.262983720829654e-04	-5.047640e-01
5.263001359792111e-04	-5.047741e-01
5.263017686017585e-04	-5.047834e-01
5.263023742516341e-04	-5.047868e-01
5.263047530907642e-04	-5.048004e-01
5.263592476732090e-04	-5.051099e-01
5.264113361102424e-04	-5.054042e-01
5.264147827665216e-04	-5.054237e-01
5.264766711878269e-04	-5.057715e-01
5.275418863898192e-04	-5.115579e-01
5.277363225532832e-04	-5.125914e-01
5.277853531236090e-04	-5.128517e-01
5.277884798164211e-04	-5.128682e-01
5.277913499733513e-04	-5.128835e-01
5.277919717635168e-04	-5.128868e-01
5.277926713187917e-04	-5.128905e-01
5.277959831680322e-04	-5.129080e-01
5.278391388732673e-04	-5.131370e-01
5.278918551096775e-04	-5.134167e-01
5.279042755786461e-04	-5.134826e-01
5.279149429835649e-04	-5.135392e-01
5.288014582053559e-04	-5.182965e-01
5.292763909150566e-04	-5.209301e-01
5.292808414841170e-04	-5.209552e-01
5.292824176781188e-04	-5.209641e-01
5.292826650268444e-04	-5.209655e-01
5.292828949448080e-04	-5.209668e-01
5.292844993732909e-04	-5.209758e-01
5.292997021262300e-04	-5.210615e-01
5.293979650575856e-04	-5.216180e-01
5.294045389498815e-04	-5.216554e-01
5.294162470157835e-04	-5.217220e-01
5.303962165562795e-04	-5.275670e-01
5.307633865050005e-04	-5.299175e-01
5.307674008537604e-04	-5.299437e-01
5.307707546841408e-04	-5.299657e-01
5.307716483469087e-04	-5.299715e-01
5.307719635953906e-04	-5.299736e-01
5.307726739985042e-04	-5.299782e-01
5.307756585186043e-04	-5.299978e-01
5.308358284344556e-04	-5.303928e-01
5.308929730515523e-04	-5.307705e-01
5.308965288395594e-04	-5.307941e-01
5.309312017555110e-04	-5.310246e-01
5.321026843843152e-04	-5.394229e-01
5.322548698724513e-04	-5.406060e-01
5.322581859193374e-04	-5.406321e-01
5.322612282365875e-04	-5.406559e-01
5.322619918722195e-04	-5.406619e-01
5.322623674982035e-04	-5.406649e-01
5.322628609783483e-04	-5.406688e-01
5.322661503119891e-04	-5.406946e-01
5.323284527822914e-04	-5.411860e-01
5.323925547543431e-04	-5.416954e-01
5.323958683665423e-04	-5.417218e-01
5.324554924814987e-04	-5.421994e-01
5.336036436010701e-04	-5.521145e-01
5.337457123624481e-04	-5.534385e-01
5.337479226186991e-04	-5.534592e-01
5.337516722307769e-04	-5.534945e-01
5.337522472622943e-04	-5.534999e-01
5.337525432614260e-04	-5.535027e-01
5.337537263013959e-04	-5.535138e-01
5.337620480083709e-04	-5.535921e-01
5.338515530173686e-04	-5.544385e-01
5.338901636997185e-04	-5.548062e-01
5.338974293330901e-04	-5.548756e-01
5.347960968980528e-04	-5.638996e-01
5.352347689980059e-04	-5.686260e-01
5.352374079235042e-04	-5.686550e-01
5.352408398232411e-04	-5.686929e-01
5.352417761712417e-04	-5.687032e-01
5.352429189266708e-04	-5.687158e-01
5.352509436856864e-04	-5.688041e-01
5.353527738096783e-04	-5.699322e-01
5.353866554168808e-04	-5.703099e-01
5.354004490101894e-04	-5.704640e-01
5.366329852215704e-04	-5.850450e-01
5.367271991267256e-04	-5.862242e-01
5.367312701076752e-04	-5.862753e-01
5.367332610658705e-04	-5.863004e-01
5.367335937415688e-04	-5.863045e-01
5.367362012913116e-04	-5.863373e-01
5.368130716505102e-04	-5.873065e-01
5.368800430495622e-04	-5.881555e-01
5.368841835992321e-04	-5.882081e-01
5.369298049069029e-04	-5.887891e-01
5.381413845151090e-04	-6.049570e-01
5.382161518648086e-04	-6.059995e-01
5.382195043943477e-04	-6.060464e-01
5.382219685778716e-04	-6.060808e-01
5.382226151153283e-04	-6.060898e-01
5.382248802928005e-04	-6.061215e-01
5.382926271979219e-04	-6.070707e-01
5.383719681154611e-04	-6.081873e-01
5.383755309715178e-04	-6.082375e-01
5.384103604218100e-04	-6.087294e-01
5.395877569563069e-04	-6.259508e-01
5.397027677224389e-04	-6.276916e-01
5.397060709792457e-04	-6.277417e-01
5.397088540051044e-04	-6.277840e-01
5.397099743588947e-04	-6.278010e-01
5.397106992655844e-04	-6.278120e-01
5.397163187814736e-04	-6.278973e-01
5.397854410049866e-04	-6.289486e-01
5.398486757146545e-04	-6.299133e-01
5.398633840745580e-04	-6.301380e-01
5.398719565835828e-04	-6.302691e-01
5.403023739270384e-04	-6.369157e-01
5.411927901722193e-04	-6.510479e-01
5.411962346998651e-04	-6.511035e-01
5.411992722769351e-04	-6.511526e-01
5.412005847446369e-04	-6.511737e-01
5.412011592111676e-04	-6.511830e-01
5.412080032291280e-04	-6.512935e-01
5.413310509631347e-04	-6.532841e-01
5.413544675233316e-04	-6.536638e-01
5.413641715869687e-04	-6.538212e-01
5.422496869124168e-04	-6.683882e-01
5.426813238723486e-04	-6.756205e-01
5.426857199903329e-04	-6.756945e-01
5.426894309691405e-04	-6.757570e-01
5.426907679115181e-04	-6.757795e-01
5.426910725397720e-04	-6.757846e-01
5.427007000080185e-04	-6.759468e-01
5.428011026899703e-04	-6.776396e-01
5.428367871928878e-04	-6.782421e-01
5.428470251731575e-04	-6.784150e-01
5.428772478597882e-04	-6.789256e-01
5.433069706237314e-04	-6.862191e-01
5.440979539491208e-04	-6.997874e-01
5.441724314062561e-04	-7.010722e-01
5.441753637995816e-04	-7.011228e-01
5.441773275642036e-04	-7.011567e-01
5.441798535877150e-04	-7.012002e-01
5.441807040392143e-04	-7.012150e-01
5.441825036169920e-04	-7.012460e-01
5.442261177013930e-04	-7.019988e-01
5.442462912062800e-04	-7.023472e-01
5.443304239572250e-04	-7.038003e-01
5.443355576701961e-04	-7.038890e-01
5.444024478715616e-04	-7.050450e-01
5.455802234144708e-04	-7.254789e-01
5.456623128170076e-04	-7.269055e-01
5.456663905562784e-04	-7.269763e-01
5.456692055573143e-04	-7.270253e-01
5.456697774695701e-04	-7.270352e-01
5.456706798610483e-04	-7.270509e-01
5.456808585044816e-04	-7.272277e-01
5.458045357235066e-04	-7.293762e-01
5.458234551939882e-04	-7.297047e-01
5.458358167882277e-04	-7.299194e-01
5.464647180207023e-04	-7.408248e-01
5.471510369279820e-04	-7.526658e-01
5.471556720471163e-04	-7.527454e-01
5.471591836259131e-04	-7.528058e-01
5.471604992298047e-04	-7.528284e-01
5.471613917123013e-04	-7.528437e-01
5.471665132592090e-04	-7.529318e-01
5.472435707114106e-04	-7.542549e-01
5.473121937113091e-04	-7.554318e-01
5.473159072126866e-04	-7.554954e-01
5.474105829069160e-04	-7.571169e-01
5.486223469045055e-04	-7.776217e-01
5.486435312681054e-04	-7.779752e-01
5.486465694667904e-04	-7.780259e-01
5.486493226518623e-04	-7.780718e-01
5.486501117260296e-04	-7.780850e-01
5.486521266433827e-04	-7.781186e-01
5.486971946272069e-04	-7.788697e-01
5.487989960570302e-04	-7.805629e-01
5.488038091981249e-04	-7.806429e-01
5.488166454699652e-04	-7.808560e-01
5.495225202543093e-04	-7.924481e-01
5.501345180113289e-04	-8.022722e-01
5.501379836099237e-04	-8.023272e-01
5.501405727503437e-04	-8.023682e-01
5.501410740852162e-04	-8.023762e-01
5.501425568382364e-04	-8.023997e-01
5.501558910008810e-04	-8.026112e-01
5.502737687104997e-04	-8.044751e-01
5.502940641213303e-04	-8.047950e-01
