time	I(I1)
6.084500888760092e-04	9.944672e-02
6.085355206812185e-04	9.985998e-02
6.085926064833416e-04	1.001322e-01
6.086586633238962e-04	1.004429e-01
6.087907770050056e-04	1.010515e-01
6.090192526321946e-04	1.020649e-01
6.096509576630410e-04	1.046289e-01
6.102712992689572e-04	1.068486e-01
6.115119824807897e-04	1.105739e-01
6.139933489044547e-04	1.160052e-01
6.176728656017448e-04	1.210997e-01
6.218343733817570e-04	1.245815e-01
6.257157212233896e-04	1.267763e-01
6.305153738991809e-04	1.289623e-01
6.353600498815150e-04	1.309690e-01
6.431725498815150e-04	1.341494e-01
6.509850498815150e-04	1.373365e-01
6.666100498815150e-04	1.437484e-01
6.900475498815151e-04	1.533817e-01
7.045564784529437e-04	1.593421e-01
7.190654070243723e-04	1.652914e-01
7.335743355958008e-04	1.712295e-01
7.480832641672294e-04	1.771565e-01
7.625921927386580e-04	1.830724e-01
7.771011213100866e-04	1.889771e-01
7.916100498815151e-04	1.948707e-01
8.150475498815152e-04	2.043341e-01
8.306725498815152e-04	2.105982e-01
8.462975498815152e-04	2.168113e-01
8.541100498815152e-04	2.198927e-01
8.619225498815152e-04	2.229527e-01
8.697350498815152e-04	2.259866e-01
8.775475498815152e-04	2.289881e-01
8.853600498815152e-04	2.319486e-01
8.931725498815152e-04	2.348565e-01
9.009850498815152e-04	2.376951e-01
9.087975498815152e-04	2.404397e-01
9.166100498815153e-04	2.430526e-01
9.244225498815153e-04	2.454734e-01
9.322350498815153e-04	2.475985e-01
9.400475498815153e-04	2.492372e-01
9.478600498815153e-04	2.499977e-01
9.556725498815153e-04	2.500000e-01
9.634850498815153e-04	2.500000e-01
9.712975498815153e-04	2.500000e-01
9.791100498815152e-04	2.500000e-01
9.869225498815152e-04	2.500000e-01
9.947350498815152e-04	2.500000e-01
1.002547549881515e-03	2.500000e-01
1.010360049881515e-03	2.500000e-01
1.018172549881515e-03	2.500000e-01
1.025985049881515e-03	2.500000e-01
1.033797549881515e-03	2.500000e-01
