time	V(out)
1.010360049881515e-03	9.566195e-01
1.018172549881515e-03	1.046142e+00
1.025985049881515e-03	1.142848e+00
1.033797549881515e-03	1.246740e+00
1.041610049881515e-03	1.357817e+00
1.057235049881515e-03	1.601524e+00
1.072860049881515e-03	1.873971e+00
1.088485049881515e-03	2.175158e+00
1.096297549881515e-03	2.336528e+00
1.104110049881515e-03	2.505082e+00
1.111922549881515e-03	2.680821e+00
1.119735049881515e-03	2.863744e+00
1.127547549881515e-03	3.053850e+00
1.135360049881515e-03	3.241275e+00
1.142616703466949e-03	3.400216e+00
1.149454465623372e-03	3.531996e+00
1.156064535485371e-03	3.644281e+00
1.162513647467913e-03	3.742927e+00
1.169830595667630e-03	3.845496e+00
1.177643095667630e-03	3.946345e+00
1.185455595667630e-03	4.039194e+00
1.193268095667630e-03	4.124441e+00
1.201080595667630e-03	4.202441e+00
1.208893095667630e-03	4.273665e+00
1.216705595667630e-03	4.338662e+00
1.224518095667630e-03	4.397986e+00
1.232330595667630e-03	4.452151e+00
1.240143095667630e-03	4.501616e+00
1.247955595667630e-03	4.546792e+00
1.255768095667630e-03	4.588049e+00
1.263580595667630e-03	4.625728e+00
1.271393095667631e-03	4.660135e+00
1.279205595667631e-03	4.691555e+00
1.287018095667631e-03	4.720244e+00
1.294830595667631e-03	4.746440e+00
1.302643095667631e-03	4.770357e+00
1.310455595667631e-03	4.792191e+00
1.318268095667631e-03	4.812120e+00
1.326080595667631e-03	4.830309e+00
1.333893095667631e-03	4.846908e+00
1.341705595667631e-03	4.862053e+00
1.349518095667631e-03	4.875868e+00
1.357330595667631e-03	4.888468e+00
1.365143095667631e-03	4.899957e+00
1.372955595667631e-03	4.910431e+00
1.380768095667631e-03	4.919977e+00
1.388580595667631e-03	4.928674e+00
1.396393095667631e-03	4.936596e+00
1.404205595667631e-03	4.943810e+00
1.412018095667631e-03	4.950376e+00
1.419830595667631e-03	4.956351e+00
1.427643095667631e-03	4.961785e+00
1.435455595667631e-03	4.966726e+00
1.443268095667631e-03	4.971217e+00
1.451080595667631e-03	4.975296e+00
1.458893095667631e-03	4.978999e+00
1.466705595667631e-03	4.982359e+00
1.474518095667631e-03	4.985406e+00
1.482330595667631e-03	4.988168e+00
1.490143095667631e-03	4.990669e+00
1.497955595667631e-03	4.992932e+00
1.505768095667631e-03	4.994978e+00
1.513580595667631e-03	4.996827e+00
1.521393095667631e-03	4.998496e+00
1.529205595667631e-03	5.000000e+00
1.537018095667631e-03	5.001355e+00
1.544830595667631e-03	5.002573e+00
1.552643095667631e-03	5.003667e+00
1.560455595667631e-03	5.004648e+00
1.568268095667631e-03	5.005526e+00
1.576080595667631e-03	5.006310e+00
1.583893095667631e-03	5.007008e+00
1.591705595667631e-03	5.007628e+00
1.599518095667631e-03	5.008178e+00
1.607330595667631e-03	5.008664e+00
1.615143095667631e-03	5.009090e+00
1.622955595667631e-03	5.009464e+00
1.630768095667631e-03	5.009789e+00
1.638580595667631e-03	5.010070e+00
1.646393095667631e-03	5.010312e+00
1.654205595667631e-03	5.010516e+00
1.662018095667631e-03	5.010688e+00
1.669830595667631e-03	5.010829e+00
1.677643095667631e-03	5.010943e+00
1.685455595667631e-03	5.011033e+00
1.693268095667631e-03	5.011099e+00
1.701080595667631e-03	5.011146e+00
1.708893095667631e-03	5.011174e+00
1.716705595667631e-03	5.011185e+00
1.724518095667631e-03	5.011180e+00
1.732330595667631e-03	5.011162e+00
1.740143095667631e-03	5.011131e+00
1.747955595667631e-03	5.011088e+00
1.755768095667631e-03	5.011035e+00
1.763580595667631e-03	5.010973e+00
1.771393095667631e-03	5.010902e+00
1.779205595667631e-03	5.010824e+00
1.787018095667631e-03	5.010738e+00
1.794830595667631e-03	5.010646e+00
1.802643095667631e-03	5.010548e+00
1.810455595667631e-03	5.010445e+00
1.818268095667631e-03	5.010336e+00
1.833893095667631e-03	5.010108e+00
1.857330595667631e-03	5.009738e+00
1.880768095667631e-03	5.009344e+00
1.896393095667631e-03	5.009071e+00
1.904205595667631e-03	5.008932e+00
1.912018095667631e-03	5.008787e+00
1.919830595667631e-03	5.008632e+00
1.927643095667631e-03	5.008471e+00
1.935455595667631e-03	5.008307e+00
1.943268095667631e-03	5.008143e+00
1.958893095667631e-03	5.007818e+00
1.974518095667631e-03	5.007505e+00
1.997955595667631e-03	5.007066e+00
2.009116309953346e-03	5.006874e+00
2.020277024239060e-03	5.006692e+00
2.031437738524774e-03	5.006520e+00
2.042598452810488e-03	5.006360e+00
2.053759167096203e-03	5.006210e+00
2.064919881381917e-03	5.006071e+00
2.076080595667631e-03	5.005942e+00
2.099518095667631e-03	5.005702e+00
2.115143095667631e-03	5.005562e+00
2.130768095667631e-03	5.005437e+00
2.146393095667631e-03	5.005327e+00
2.162018095667631e-03	5.005228e+00
2.177643095667631e-03	5.005141e+00
2.193268095667631e-03	5.005063e+00
2.208893095667631e-03	5.004993e+00
2.224518095667631e-03	5.004932e+00
2.240143095667631e-03	5.004878e+00
2.255768095667631e-03	5.004828e+00
2.271393095667631e-03	5.004785e+00
2.287018095667631e-03	5.004746e+00
2.302643095667631e-03	5.004711e+00
2.318268095667631e-03	5.004679e+00
2.333893095667631e-03	5.004650e+00
2.349518095667631e-03	5.004624e+00
2.365143095667631e-03	5.004600e+00
2.380768095667631e-03	5.004578e+00
2.396393095667632e-03	5.004558e+00
2.419830595667632e-03	5.004530e+00
2.443268095667632e-03	5.004505e+00
2.466705595667632e-03	5.004481e+00
2.490143095667632e-03	5.004460e+00
2.513580595667632e-03	5.004440e+00
2.532553809953346e-03	5.004424e+00
2.551527024239060e-03	5.004409e+00
2.570500238524774e-03	5.004394e+00
2.589473452810489e-03	5.004380e+00
2.608446667096203e-03	5.004366e+00
2.627419881381917e-03	5.004352e+00
2.646393095667632e-03	5.004339e+00
2.678759167096203e-03	5.004316e+00
2.711125238524775e-03	5.004294e+00
2.743491309953346e-03	5.004271e+00
2.775857381381917e-03	5.004249e+00
2.808223452810489e-03	5.004227e+00
2.840589524239061e-03	5.004205e+00
2.872955595667632e-03	5.004183e+00
3.024741309953346e-03	5.004079e+00
3.176527024239061e-03	5.003977e+00
3.328312738524775e-03	5.003877e+00
3.480098452810490e-03	5.003780e+00
3.631884167096204e-03	5.003684e+00
3.783669881381918e-03	5.003592e+00
3.935455595667632e-03	5.003501e+00
4.141928809953347e-03	5.003385e+00
4.348402024239062e-03	5.003277e+00
4.554875238524776e-03	5.003175e+00
4.761348452810491e-03	5.003081e+00
4.967821667096205e-03	5.002993e+00
5.174294881381920e-03	5.002912e+00
5.380768095667634e-03	5.002839e+00
5.660902024239063e-03	5.002750e+00
5.941035952810492e-03	5.002669e+00
6.221169881381921e-03	5.002596e+00
6.501303809953349e-03	5.002531e+00
6.781437738524778e-03	5.002474e+00
7.061571667096207e-03	5.002425e+00
7.341705595667635e-03	5.002384e+00
7.435747653429402e-03	5.002371e+00
7.529789711191169e-03	5.002358e+00
7.623831768952934e-03	5.002346e+00
7.717873826714701e-03	5.002335e+00
7.811915884476468e-03	5.002323e+00
7.905957942238234e-03	5.002313e+00
8.000000000000000e-03	5.002303e+00
