time	I(I1)
8.357124356866217e-04	4.985454e+00
8.361609885375890e-04	5.000000e+00
8.417751344894105e-04	5.000000e+00
8.469161702200569e-04	4.993296e+00
8.524695133143183e-04	4.995897e+00
8.529341189228225e-04	5.000000e+00
8.584431973274255e-04	5.000000e+00
8.634949524811720e-04	4.999429e+00
8.639461959065264e-04	5.000000e+00
8.694118416830391e-04	5.000000e+00
8.695623621257315e-04	5.000000e+00
8.748567641842719e-04	5.000000e+00
8.776418985135687e-04	5.000000e+00
8.802735382279878e-04	5.000000e+00
8.852153346650964e-04	5.000000e+00
8.856611486221955e-04	5.000000e+00
8.905772647763029e-04	5.000000e+00
8.910257246384579e-04	5.000000e+00
8.959196257951752e-04	5.000000e+00
8.963733291751416e-04	5.000000e+00
9.016717028975263e-04	5.000000e+00
9.065058174361306e-04	5.000000e+00
9.069549384721343e-04	5.000000e+00
9.117684267680754e-04	5.000000e+00
9.122257134990285e-04	5.000000e+00
9.174510791822584e-04	5.000000e+00
9.222112307783318e-04	5.000000e+00
9.226664039347842e-04	5.000000e+00
9.278484070079565e-04	5.000000e+00
9.325642919217105e-04	5.000000e+00
9.330174087227110e-04	5.000000e+00
9.381517353784350e-04	5.000000e+00
9.428209662945548e-04	5.000000e+00
9.432761401147497e-04	5.000000e+00
9.483648251899087e-04	5.000000e+00
9.493552202729276e-04	5.000000e+00
9.534392312758553e-04	5.000000e+00
9.580378315029211e-04	5.000000e+00
9.596399852340122e-04	5.000000e+00
9.635218455110655e-04	5.000000e+00
9.685239720257117e-04	5.000000e+00
9.695398133382853e-04	5.000000e+00
9.735118689752356e-04	5.000000e+00
9.780245200925427e-04	5.000000e+00
9.793915053607008e-04	5.000000e+00
9.834212428207587e-04	5.000000e+00
9.834213071124329e-04	5.000000e+00
9.878884093109897e-04	5.000000e+00
9.883423682468041e-04	5.000000e+00
9.927945430602992e-04	5.000000e+00
9.932502204795446e-04	5.000000e+00
9.981284129809281e-04	5.000000e+00
9.991431874473834e-04	5.000000e+00
1.002997568681709e-03	5.000000e+00
1.007837959603217e-03	5.000000e+00
1.008447176600518e-03	5.000000e+00
1.012665728671684e-03	5.000000e+00
1.017015817670516e-03	5.000000e+00
1.017472087434668e-03	5.000000e+00
1.021806887296529e-03	5.000000e+00
1.026572677658228e-03	5.000000e+00
1.027029772949030e-03	5.000000e+00
1.031327558616312e-03	5.000000e+00
1.036043732004133e-03	5.000000e+00
1.036514779022255e-03	5.000000e+00
1.040772729179570e-03	5.000000e+00
1.041231350368423e-03	5.000000e+00
1.045472580531785e-03	5.000000e+00
1.050149496015750e-03	5.000000e+00
1.050609105243886e-03	5.000000e+00
1.054814978504514e-03	5.000000e+00
1.055271123963799e-03	5.000000e+00
1.059871236791816e-03	5.000000e+00
1.064088048512273e-03	5.000000e+00
1.064547635326870e-03	5.000000e+00
1.069157342176098e-03	5.000000e+00
1.073296080098544e-03	5.000000e+00
1.073753963751672e-03	5.000000e+00
1.077900093288174e-03	5.000000e+00
1.082437492245842e-03	5.000000e+00
1.082894667793813e-03	5.000000e+00
1.086985318334362e-03	5.000000e+00
1.091511105039902e-03	5.000000e+00
1.091971620050676e-03	5.000000e+00
1.096030072087315e-03	5.000000e+00
1.100526130983140e-03	5.000000e+00
1.100986881770331e-03	5.000000e+00
1.105014116797066e-03	5.000000e+00
