time	I(I1)
4.937526378351429e-04	3.242597e-02
4.937531772093094e-04	3.242401e-02
4.937542270593256e-04	3.242287e-02
4.937558476514680e-04	3.241744e-02
4.937584545230962e-04	3.241239e-02
4.938020530124508e-04	3.231298e-02
4.938333062910835e-04	3.224166e-02
4.938397915363226e-04	3.222692e-02
4.945086624395242e-04	3.071829e-02
4.952333254884264e-04	2.920512e-02
4.952366922925620e-04	2.919804e-02
4.952384033974914e-04	2.919275e-02
4.952387393296075e-04	2.924507e-02
4.952389540255758e-04	2.918771e-02
4.952391946770957e-04	2.916632e-02
4.952397876625580e-04	2.921538e-02
4.952401859980750e-04	2.917839e-02
4.952407006131553e-04	2.919973e-02
4.952409265926066e-04	2.919757e-02
4.952414015720509e-04	2.918394e-02
4.952417005643121e-04	2.919277e-02
4.952421125847635e-04	2.918514e-02
4.952424861445994e-04	2.918464e-02
4.952431324706728e-04	2.918537e-02
4.952444648920480e-04	2.918195e-02
4.952463942516312e-04	2.917963e-02
4.952529529349126e-04	2.916647e-02
4.953043489249345e-04	2.906607e-02
4.953402402683580e-04	2.899831e-02
4.953410425386355e-04	2.899507e-02
4.953425375708421e-04	2.899222e-02
4.953642557390289e-04	2.895053e-02
4.961959479828825e-04	2.755352e-02
4.967215262265485e-04	2.691689e-02
4.967236450668530e-04	2.691477e-02
4.967259382156950e-04	2.691222e-02
4.967275080385032e-04	2.690113e-02
4.967278295541109e-04	2.695013e-02
4.967281568397231e-04	2.691488e-02
4.967282264285269e-04	2.690056e-02
4.967288616308096e-04	2.691964e-02
4.967294588300814e-04	2.689690e-02
4.967300224968033e-04	2.691780e-02
4.967303223543723e-04	2.690557e-02
4.967307515215957e-04	2.690557e-02
4.967311019616748e-04	2.691017e-02
4.967314513588670e-04	2.690377e-02
4.967318686803008e-04	2.690765e-02
4.967324402953598e-04	2.690464e-02
4.967333932384246e-04	2.690559e-02
4.967352377094725e-04	2.690282e-02
4.967408174727250e-04	2.689769e-02
4.968015408622837e-04	2.683931e-02
4.968518825550172e-04	2.679330e-02
4.968548388663438e-04	2.679060e-02
4.968800461978819e-04	2.676842e-02
4.998831344364386e-04	2.877042e-02
5.021884284271306e-04	3.607394e-02
5.033127563098548e-04	4.072207e-02
5.036789860181443e-04	4.230887e-02
5.036837281883556e-04	4.232955e-02
5.036858676002028e-04	4.234445e-02
5.036875223236940e-04	4.234632e-02
5.036900945176988e-04	4.235739e-02
5.036929240860211e-04	4.236953e-02
5.036967015877377e-04	4.238611e-02
5.037651591215931e-04	4.268495e-02
5.038672057277797e-04	4.313223e-02
5.038691448920061e-04	4.313974e-02
5.038929016329098e-04	4.324378e-02
5.051696290385455e-04	4.891900e-02
5.051743528409671e-04	4.894030e-02
5.051770601659520e-04	4.894740e-02
5.051774860308489e-04	4.900615e-02
5.051775826927305e-04	4.897217e-02
5.051777946537074e-04	4.893150e-02
5.051782372041097e-04	4.895740e-02
5.051786211111278e-04	4.897839e-02
5.051787732132244e-04	4.895381e-02
5.051789368542314e-04	4.894681e-02
5.051793586523707e-04	4.896760e-02
5.051797230739687e-04	4.897112e-02
5.051801773245765e-04	4.896000e-02
5.051805189362502e-04	4.897340e-02
5.051809514037065e-04	4.896539e-02
5.051813084579407e-04	4.896852e-02
5.051818325338565e-04	4.897625e-02
5.051826507909682e-04	4.897998e-02
5.051841315745776e-04	4.898542e-02
5.051861876686783e-04	4.899338e-02
5.051943377947651e-04	4.903040e-02
5.052460264459374e-04	4.926363e-02
5.052495439850720e-04	4.927961e-02
5.052532188154780e-04	4.929611e-02
5.053988882223401e-04	4.995480e-02
5.065505112107982e-04	5.523272e-02
5.066622417339132e-04	5.575111e-02
5.066654839287107e-04	5.576164e-02
5.066667593029573e-04	5.577538e-02
5.066671631789857e-04	5.580193e-02
5.066672307510317e-04	5.577658e-02
5.066673520210155e-04	5.575058e-02
5.066677472081937e-04	5.576462e-02
5.066681531633928e-04	5.580323e-02
5.066683899585295e-04	5.577003e-02
5.066686224855218e-04	5.576630e-02
5.066690165155941e-04	5.579138e-02
5.066697973477876e-04	5.578087e-02
5.066705036006546e-04	5.578952e-02
5.066706746333592e-04	5.578664e-02
5.066712907481195e-04	5.579684e-02
5.066728475867692e-04	5.580074e-02
5.066746636848304e-04	5.580834e-02
5.066785205718683e-04	5.582667e-02
5.067327570143133e-04	5.607864e-02
5.067377223322279e-04	5.610232e-02
5.067404095290622e-04	5.611422e-02
5.067899761843640e-04	5.634469e-02
5.080322462491851e-04	6.216253e-02
5.081506374843361e-04	6.271952e-02
5.081527987713913e-04	6.272969e-02
5.081562294572948e-04	6.273871e-02
5.081568240463299e-04	6.274956e-02
5.081570201993441e-04	6.279512e-02
5.081572854150940e-04	6.275730e-02
5.081574547392912e-04	6.272956e-02
5.081579767797688e-04	6.276245e-02
5.081583301638199e-04	6.276508e-02
5.081584747928618e-04	6.274710e-02
5.081590170913496e-04	6.276240e-02
5.081594621857829e-04	6.276155e-02
5.081601066756689e-04	6.276664e-02
5.081606197598966e-04	6.276378e-02
5.081608947856034e-04	6.276486e-02
5.081614033467964e-04	6.277279e-02
5.081622448290760e-04	6.277480e-02
5.081637789436845e-04	6.278233e-02
5.081658742337878e-04	6.279096e-02
5.081756227907428e-04	6.283704e-02
5.082342448027775e-04	6.311385e-02
5.082361366791043e-04	6.312165e-02
5.082479072665143e-04	6.317701e-02
5.092452468011459e-04	6.784948e-02
5.096394820330285e-04	6.967822e-02
5.096419485047149e-04	6.968962e-02
5.096454355508953e-04	6.969999e-02
5.096462373536017e-04	6.971373e-02
5.096466184302569e-04	6.973171e-02
5.096468428298360e-04	6.969304e-02
5.096472954408655e-04	6.971545e-02
5.096477474138998e-04	6.972116e-02
5.096478728182363e-04	6.970872e-02
5.096480021902619e-04	6.970687e-02
5.096484922988470e-04	6.972722e-02
5.096486015526586e-04	6.972983e-02
5.096486524495315e-04	6.972979e-02
5.096490272492789e-04	6.971607e-02
5.096493377603989e-04	6.972271e-02
5.096497452153733e-04	6.972893e-02
5.096500895283485e-04	6.972535e-02
5.096505239227714e-04	6.973204e-02
5.096510464398348e-04	6.972975e-02
5.096517113396985e-04	6.973654e-02
5.096531931114694e-04	6.974186e-02
5.096554003645197e-04	6.975169e-02
5.096713431457843e-04	6.982523e-02
5.097343938570044e-04	7.011575e-02
5.097412952435066e-04	7.014753e-02
5.097545910310117e-04	7.020871e-02
5.104841726964080e-04	7.352306e-02
5.111305502925764e-04	7.637176e-02
5.111339460186463e-04	7.638407e-02
5.111351679968063e-04	7.639220e-02
5.111355611065410e-04	7.641262e-02
5.111356888353448e-04	7.638675e-02
5.111360305629051e-04	7.638122e-02
5.111363976757547e-04	7.640973e-02
5.111368266142010e-04	7.639223e-02
5.111370460929269e-04	7.639182e-02
5.111375491643202e-04	7.640963e-02
5.111379844711954e-04	7.639971e-02
5.111382778629742e-04	7.640497e-02
5.111387107485372e-04	7.640941e-02
5.111390406148084e-04	7.640715e-02
5.111395321947340e-04	7.641275e-02
5.111401023411964e-04	7.641130e-02
5.111411846779792e-04	7.641682e-02
5.111429506439113e-04	7.642554e-02
5.111469594656131e-04	7.644282e-02
5.112019034732424e-04	7.668019e-02
5.112388148958134e-04	7.684027e-02
5.112396184254042e-04	7.684263e-02
5.112414295164548e-04	7.685046e-02
5.112774595026222e-04	7.700529e-02
5.125876127747556e-04	8.236394e-02
5.126210383452475e-04	8.249307e-02
5.126244742589553e-04	8.250146e-02
5.126250273533459e-04	8.251768e-02
5.126254659994372e-04	8.250656e-02
5.126256528902855e-04	8.249806e-02
5.126261829435845e-04	8.252255e-02
5.126266003512837e-04	8.250955e-02
5.126272069042628e-04	8.252048e-02
5.126274300932239e-04	8.252345e-02
5.126277978186421e-04	8.251649e-02
5.126280996467468e-04	8.252133e-02
5.126285539613019e-04	8.252323e-02
5.126288810027646e-04	8.252263e-02
5.126294043949074e-04	8.252648e-02
5.126300623607935e-04	8.252712e-02
5.126313132973392e-04	8.253242e-02
5.126333567732255e-04	8.254059e-02
5.126431569922974e-04	8.257827e-02
5.127195844892393e-04	8.287122e-02
5.127395329270803e-04	8.294728e-02
5.127451009211781e-04	8.296853e-02
5.131576343106081e-04	8.450560e-02
5.139518334490028e-04	8.726703e-02
5.141084348766692e-04	8.777927e-02
5.141108517083557e-04	8.778709e-02
5.141141668069797e-04	8.779494e-02
5.141151678398283e-04	8.781013e-02
5.141155457493917e-04	8.780009e-02
5.141156461812045e-04	8.779560e-02
5.141161833320148e-04	8.780789e-02
5.141166043716552e-04	8.780634e-02
5.141170392427849e-04	8.780365e-02
5.141173337918595e-04	8.781208e-02
5.141177722096501e-04	8.780671e-02
5.141180342876308e-04	8.780832e-02
5.141183222263981e-04	8.781243e-02
5.141188701792290e-04	8.781164e-02
5.141195028382768e-04	8.781614e-02
5.141209614259213e-04	8.781977e-02
5.141231543079328e-04	8.782689e-02
5.141397667520449e-04	8.788040e-02
5.141867951878329e-04	8.803135e-02
5.142298685187448e-04	8.816870e-02
5.142337641921440e-04	8.818109e-02
5.142468847974147e-04	8.822273e-02
5.149480686527964e-04	9.033103e-02
5.156021403905407e-04	9.208746e-02
5.156056837893649e-04	9.209522e-02
5.156068528725129e-04	9.210070e-02
5.156073062076643e-04	9.210156e-02
5.156078376250645e-04	9.209868e-02
5.156082830494432e-04	9.210853e-02
5.156087332231660e-04	9.210026e-02
5.156091809782598e-04	9.210871e-02
5.156093463726123e-04	9.210867e-02
5.156097600997846e-04	9.210539e-02
5.156100318508995e-04	9.210946e-02
5.156104689668723e-04	9.210867e-02
5.156107977143992e-04	9.210885e-02
5.156113699856553e-04	9.211130e-02
5.156123893292743e-04	9.211399e-02
5.156141137041101e-04	9.211758e-02
5.156179732462299e-04	9.212745e-02
5.156649449034560e-04	9.224541e-02
5.157273130476234e-04	9.240034e-02
5.157311972002147e-04	9.240993e-02
5.157442333401279e-04	9.244206e-02
5.164374941922456e-04	9.403250e-02
5.170700706610641e-04	9.528627e-02
5.170915465755782e-04	9.532563e-02
5.170949489977754e-04	9.532958e-02
5.170960244990563e-04	9.534064e-02
5.170961726945831e-04	9.533117e-02
5.170964771156780e-04	9.532985e-02
5.170968832626548e-04	9.533842e-02
5.170970327827716e-04	9.534027e-02
5.170974354739775e-04	9.533539e-02
5.170978037525469e-04	9.533943e-02
5.170981601302109e-04	9.533809e-02
5.170984401009421e-04	9.533794e-02
5.170985071198849e-04	9.533858e-02
5.170987894676687e-04	9.533942e-02
5.170993273652433e-04	9.533955e-02
5.171001885207471e-04	9.534165e-02
5.171020712597779e-04	9.534474e-02
5.171092532141974e-04	9.535792e-02
5.171625032212094e-04	9.545415e-02
5.172165001023158e-04	9.555041e-02
5.172208336735938e-04	9.555808e-02
5.172235239432349e-04	9.556284e-02
5.173062853330819e-04	9.570754e-02
5.183983679437574e-04	9.733997e-02
5.185793185119281e-04	9.756336e-02
5.185833781457252e-04	9.756823e-02
5.185867768686767e-04	9.757688e-02
5.185870377119382e-04	9.757430e-02
5.185872133200865e-04	9.756982e-02
5.185875427609906e-04	9.757088e-02
5.185879022881997e-04	9.757622e-02
5.185882143066099e-04	9.757161e-02
5.185885863088362e-04	9.757343e-02
5.185888542130257e-04	9.757513e-02
5.185893222763530e-04	9.757452e-02
5.185896396481776e-04	9.757502e-02
5.185901246928102e-04	9.757674e-02
5.185906909325240e-04	9.757684e-02
5.185917093432898e-04	9.757803e-02
5.185939525277599e-04	9.758087e-02
5.186129512553103e-04	9.760347e-02
5.186529572461844e-04	9.765061e-02
5.187061933799376e-04	9.771238e-02
